property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
2645,-37.815113,144.891492,10 Goulburn Street,YARRAVILLE,MITCHELL,19996,0.16,not available,0,14,5,3,1
51985,-37.799076,145.174236,7 Belmont Court,DONVALE,CASEY,19899,2.394,28,1,69,22,14,7
76137,-37.909505,145.094192,38 Andrew Street,OAKLEIGH,WANGARATTA,19916,0.736,27,1,0,0,0,0
96049,-37.912178,145.051455,6 Shanahan Crescent,MCKINNON,HORSHAM,19940,1.173,28,1,0,0,0,0
47173,-37.7195587,145.1604614,40 Malabar Crescent,ELTHAM,FRANKSTON,19987,1.297,52,1,3,3,2,1
38857,-37.759463,145.048191,35 Melcombe Road,IVANHOE,BASS COAST,19934,0.682,33,1,0,0,0,0
24807,-37.677287,144.962346,6 Myrtle Street,CAMPBELLFIELD,STRATHBOGIE,19960,1.855,33,1,0,0,0,0
92759,-37.988862,145.074568,15 Sixth Street,PARKDALE,STONNINGTON,19864,0.494,45,1,19,4,3,1
3948,-37.81252,144.888403,9 Regent Street,YARRAVILLE,MITCHELL,19996,0.394,not available,0,14,5,3,1
74484,-37.892478,145.070302,10 Toward Street,MURRUMBEENA,MOIRA,19919,0.361,21,1,0,0,0,0
25165,-37.583957,144.924104,110 Malcolm Creek Parade,CRAIGIEBURN,YARRA RANGES,40221,2.61,41,1,5,3,2,1
60338,-37.82128,145.209805,9 Patrick Court,MITCHAM,PORT PHILLIP,19901,0.373,33,1,25,8,5,3
48356,-37.806773,145.052136,37 Cecil Street,KEW,SOUTH GIPPSLAND,19903,1.823,14,1,2,0,0,0
87800,-37.94593,145.016535,50 Highett Road,HAMPTON,WYNDHAM,19948,1.158,not available,0,99,43,33,20
86354,-37.8958664,145.0019989,21 Hamilton Street,BRIGHTON,HUME,19953,0.211,not available,0,332,214,155,80
26130,-37.590841,144.907879,25 Grosvenor Square,CRAIGIEBURN,YARRA RANGES,40221,3.353,41,1,5,3,2,1
80266,-37.988594,145.154718,42 Liverpool Drive,KEYSBOROUGH,KINGSTON,19890,3.072,40,1,13,4,2,1
3671,-37.819416,144.8892822,52 Sussex Street,YARRAVILLE,MITCHELL,19996,0.401,not available,0,14,5,3,1
20971,-37.762038,144.957266,29A Davison Street,BRUNSWICK,MARIBYRNONG,19967,0.313,18,1,22,7,5,3
3252,-37.815284,144.889488,28 Birmingham Street,YARRAVILLE,MITCHELL,19996,0.074,not available,0,14,5,3,1
19728,-37.671711,144.8907623,4 Chadwick Lane,ATTWOOD,MOYNE,20030,2.835,32,1,0,0,0,0
90786,-37.963231,145.044809,5 Wembley Avenue,CHELTENHAM,YARRA RANGES,19866,0.935,40,1,5,3,2,1
91075,-37.9678421,145.084549,9 Renowden Street,CHELTENHAM,YARRA RANGES,19865,2.306,43,1,5,3,2,1
76121,-37.894502,145.080517,36 Euston Road,HUGHESDALE,BASS COAST,19918,0.256,23,1,0,0,0,0
61632,-37.772747,145.2479096,254 Wonga Road,WARRANWOOD,MACEDON RANGES,19878,3.823,42,1,1,1,1,0
88135,-37.941985,145.048707,2 Rodney Street,MOORABBIN,MANSFIELD,19872,0.934,37,1,0,0,0,0
42093,-37.747357,145.089222,32 Somerset Drive,VIEWBANK,MANNINGHAM,19936,2.09,36,1,11,6,4,2
6596,-37.78586,144.822697,3/39 Fraser Street,SUNSHINE,KNOX,20004,0.929,23,1,23,5,3,2
18749,-37.692215,144.9299355,36 Elliot Avenue,BROADMEADOWS,WODONGA,20031,1.281,30,1,3,0,0,0
35669,-37.723484,145.02794,843 Plenty Road,RESERVOIR,EAST GIPPSLAND,20010,1.983,40,1,1,0,0,0
80559,-37.9886322,145.1710358,9 Denbigh Court,KEYSBOROUGH,KINGSTON,19889,2.14,42,1,13,4,2,1
8211,-37.747364,144.7445221,19 Saxby Court,BURNSIDE,MOYNE,20001,4.772,30,1,0,0,0,0
84246,-37.8518596,145.0055011,62 Pridham Street,PRAHRAN,BOROONDARA,19946,0.748,14,1,12,3,2,1
65638,-37.782979,145.311878,102 Manchester Road,MOOROOLBARK,WEST WIMMERA,19877,0.202,46,1,0,0,0,0
6073,-37.7835884,144.841919,112 Cornwall Road,SUNSHINE,KNOX,20021,0.966,20,1,23,5,3,2
70710,-37.874752,145.0928955,3 Myora Court,CHADSTONE,MELTON,19839,0.2,not available,0,87,28,19,10
52440,-37.8290546,144.9891811,16 Melrose Street,CREMORNE,WELLINGTON,19908,0.56,5,1,0,0,0,0
7379,-37.7301178,144.8161163,292 Sunshine Avenue,KEALBA,BASS COAST,20001,1.97,30,1,0,0,0,0
60336,-37.825258,145.198092,9 Norman Street,MITCHAM,PORT PHILLIP,19900,0.969,31,1,25,8,5,3
34234,-37.719653,144.999298,20 Clinnick Street,RESERVOIR,EAST GIPPSLAND,20010,0.744,40,1,1,0,0,0
7299,-37.749485,144.761062,2 Monmouth Close,ALBANVALE,HEPBURN,20002,3.466,28,1,-1,0,0,0
12958,-37.703846,144.7536469,31 Allenby Road,HILLSIDE,GREATER DANDENONG,20000,1.832,34,1,36,9,6,3
54097,-37.8182068,145.018158,130A Church Street,HAWTHORN,YARRA,19905,0.579,10,1,15,7,5,3
69762,-37.867883,145.072378,22 Boyle Street,ASHBURTON,DAREBIN,19847,0.641,28,1,41,21,15,8
32626,-37.7474087,144.9962906,33 St Georges Road,PRESTON,BOROONDARA,20013,0.397,33,1,12,3,2,1
44508,-37.693606,145.107007,2 Barkala Close,GREENSBOROUGH,GLEN EIRA,19985,1.156,46,1,15,4,2,1
41562,-37.74524,145.076141,13 Haughton Parade,ROSANNA,EAST GIPPSLAND,19936,0.918,36,1,1,0,0,0
96013,-37.909521,145.050682,6 Blackshaw Street,MCKINNON,HORSHAM,19940,1.09,28,1,0,0,0,0
6961,-37.784137,144.821738,7 Sydney Street (Albion),ALBION,MOIRA,20004,0.767,23,1,0,0,0,0
61646,-37.773891,145.252418,26 Omeo Parade,WARRANWOOD,MACEDON RANGES,19878,3.446,42,1,1,1,1,0
12601,-37.705143,144.753235,2/2 Serrata Court,HILLSIDE,GREATER DANDENONG,20000,1.896,34,1,36,9,6,3
53676,-37.8137283,144.9914398,7 Egan Street,RICHMOND,EAST GIPPSLAND,19978,0.136,15,1,1,0,0,0
5066,-37.861778,144.845598,23 Simmons Drive,SEAHOLME,WHITEHORSE,19927,0.788,not available,0,12,1,1,1
5210,-37.8638941,144.8405839,44 Sussex Street,SEAHOLME,WHITEHORSE,19927,0.44,not available,0,12,1,1,1
10614,-37.790342,144.930268,49 Eastwood Street,KENSINGTON,SOUTH GIPPSLAND,20040,0.354,10,1,2,0,0,0
25442,-37.594996,144.9336,14 Wattleglen Street,CRAIGIEBURN,YARRA RANGES,40221,1.144,41,1,5,3,2,1
96036,-37.926362,145.047814,6 Montreal Street,BENTLEIGH,HOBSONS BAY,19938,1.091,32,1,20,14,15,10
